no_topics,min_df,max_df,alpha,eta,c_v
9.0,0.08,0.22,0.31,0.27,0.29947852939752906
6.0,0.02,0.16,0.4,0.22,0.29749879518207273
8.0,0.06,0.29,0.37,0.09,0.33069540131058767
12.0,0.08,0.15,0.12,0.24,0.27529378486553985
13.0,0.02,0.3,0.22,0.29,0.3564287851087243
3.0,0.05,0.33,0.31,0.25,0.31155255243974955
11.0,0.02,0.26,0.45,0.12,0.31844244409052685
13.0,0.06,0.45,0.39,0.12,0.3181803095674356
14.0,0.07,0.44,0.41000000000000003,0.16,0.3046371259585401
2.0,0.01,0.4,0.29,0.24,0.2967256754380277
4.0,0.08,0.24,0.17,0.11,0.25104476055380903
7.0,0.04,0.41000000000000003,0.28,0.03,0.2951690967819575
5.0,0.08,0.38,0.36,0.02,0.2921081011144714
6.0,0.05,0.36,0.37,0.09,0.34446974211667397
10.0,0.05,0.26,0.4,0.17,0.31973548425359566
13.0,0.01,0.14,0.43,0.29,0.3166381186935467
2.0,0.04,0.19,0.13,0.08,0.26416994696765406
4.0,0.02,0.44,0.41000000000000003,0.24,0.2877041964919273
13.0,0.01,0.19,0.34,0.07,0.29791815504891644
11.0,0.03,0.41000000000000003,0.19,0.17,0.3415604225266488
14.0,0.1,0.41000000000000003,0.11,0.14,0.3112652786464293
10.0,0.04,0.26,0.12,0.11,0.3453778650018099
10.0,0.09,0.34,0.22,0.17,0.3217098846072145
12.0,0.09,0.45,0.16,0.17,0.33437894223376247
3.0,0.03,0.22,0.4,0.07,0.2798364454605127
15.0,0.1,0.2,0.4,0.02,0.29007748544257556
7.0,0.08,0.37,0.08,0.21,0.32669378898619506
14.0,0.05,0.33,0.38,0.15,0.33611603584929833
4.0,0.07,0.23,0.13,0.21,0.2998005693047987
13.0,0.09,0.13,0.34,0.28,0.25923084316928247
13.0,0.05,0.12,0.37,0.21,0.2704648857738168
15.0,0.06,0.39,0.12,0.26,0.33169706451065867
13.0,0.01,0.23,0.17,0.3,0.33865274546095786
14.0,0.1,0.34,0.35000000000000003,0.22,0.3168145669649589
13.0,0.04,0.19,0.17,0.17,0.3292752836190062
15.0,0.08,0.5,0.3,0.18,0.33135465262259756
5.0,0.05,0.12,0.02,0.24,0.3060484059352736
7.0,0.06,0.45,0.32,0.08,0.3197289854662193
7.0,0.1,0.5,0.24,0.07,0.34957708258282166
9.0,0.1,0.12,0.07,0.29,0.26943596007696224
7.0,0.04,0.41000000000000003,0.28,0.2,0.2951690967819575
7.0,0.05,0.13,0.02,0.21,0.32562596207281314
5.0,0.04,0.41000000000000003,0.12,0.28,0.3284484804139757
10.0,0.08,0.47000000000000003,0.3,0.11,0.33975642983590004
15.0,0.09,0.47000000000000003,0.24,0.24,0.3324178089580813
